Country,Waterbody Type,Date,Dissolved Oxygen (mg/l),pH (ph units),Nitrogen (mg/l)
England,River,2000-01-01,10.126666666666667,7.3500000000000005,2.85
England,River,2000-01-02,11.7,7.64,1.99
England,River,2000-01-03,10.2,7.7,9.44
England,River,2000-01-04,10.485851946409852,7.623651877133105,8.206184300341297
England,Effluent,2000-01-05,10.576157094040976,7.698296146044625,9.197931034482759
England,Effluent,2000-01-06,10.555533777031053,7.7004081632653065,8.746633673469388
England,Effluent,2000-01-07,10.638625398858675,7.6592926829268295,8.203473170731707
England,River,2000-01-08,10.2,7.84375,11.703125
England,River,2000-01-09,11.545887343269548,7.424,8.575600000000001
England,River,2000-01-10,10.889938747842155,7.736415841584158,9.020000000000001
England,River,2000-01-11,10.719109057591844,7.6741016949152545,8.352498305084746
England,River,2000-01-12,10.5247174026783,7.698119349005426,8.232748643761303
England,River,2000-01-13,10.710509741722491,7.700260869565216,7.203737391304348
England,River,2000-01-14,10.827452144377991,7.709061224489796,7.554202040816327
England,River,2000-01-15,10.463809523809523,7.4,11.40857142857143
England,Effluent,2000-01-16,10.313133689746255,7.458032786885246,11.268934426229508
England,River,2000-01-17,10.859054894724402,7.67734,8.715074000000001
England,River,2000-01-18,10.99494599260905,7.704955908289242,8.797054673721341
England,Lake,2000-01-19,10.933658560426574,7.690307692307692,7.992606615384616
England,Effluent,2000-01-20,10.866542382214643,7.654299242424242,9.24925946969697
England,River,2000-01-21,11.028960636327461,7.617878048780487,7.330756097560976
England,River,2000-01-22,10.904784475342545,7.82659090909091,10.782568181818181
England,River,2000-01-23,11.251960487146134,7.71875,11.74375
England,River,2000-01-24,11.080836886898664,7.751192468619247,8.415190376569036
England,Effluent,2000-01-25,11.128574384258714,7.688409893992933,8.902033568904594
England,River,2000-01-26,11.20246473613802,7.67294827586207,7.694653448275862
England,Effluent,2000-01-27,10.973166367063358,7.584872262773723,9.484147810218978
England,Effluent,2000-01-28,10.881430017330969,7.741244343891403,8.818923076923078
England,River,2000-01-29,10.2,7.728571428571429,18.82857142857143
England,Effluent,2000-01-30,10.498,7.404285714285714,8.239942857142857
England,Effluent,2000-01-31,10.60249884001452,7.73061099796334,9.373863543788188
England,River,2000-02-01,10.596713477119476,7.660335195530727,8.853957169459962
England,River,2000-02-02,10.59212104660517,7.635616000000001,7.7063144
England,River,2000-02-03,10.6979465990683,7.794725738396624,8.224246835443038
England,Estuarine,2000-02-04,10.687192631085686,7.6974413646055435,6.888692963752665
England,Sewage,2000-02-05,10.257916666666667,7.548750000000001,9.108333333333333
England,River,2000-02-06,10.6037771833088,7.804423076923077,9.327307692307691
England,River,2000-02-07,10.655452403568962,7.745361216730038,8.18783650190114
England,River,2000-02-08,10.580350175541128,7.6738248847926265,7.288331797235022
England,Effluent,2000-02-09,10.970167884854654,7.763291366906476,8.174244604316547
England,Effluent,2000-02-10,10.654298412156544,7.688059071729958,8.406088607594937
England,Effluent,2000-02-11,10.93049928101008,7.6492165898617515,7.504539170506912
England,River,2000-02-12,11.664240709905233,7.773461538461538,9.082807692307693
England,Effluent,2000-02-13,10.189662921348315,7.509101123595505,9.03370786516854
England,River,2000-02-14,10.937476700045108,7.681367837338263,6.954123844731978
England,River,2000-02-15,10.932118147331908,7.753736842105264,8.385760350877192
England,River,2000-02-16,10.872543864456599,7.741216216216216,8.001185328185327
England,River,2000-02-17,10.994057854349574,7.749546979865773,7.299770134228187
England,Effluent,2000-02-18,10.713568838855036,7.662615012106537,7.95985230024213
England,River,2000-02-19,10.619880451068587,7.3053333333333335,8.589333333333334
England,River,2000-02-20,11.187711361704771,7.802222222222222,10.904444444444445
England,River,2000-02-21,11.04854915237303,7.706873706004141,7.25367701863354
England,River,2000-02-22,10.85672919993496,7.733828125,7.3966515625
England,Sewage,2000-02-23,10.886328810474831,7.703106796116505,8.422904530744336
England,Effluent,2000-02-24,10.738120379945407,7.690940032414911,8.394957860615884
England,Effluent,2000-02-25,10.625917508416395,7.658741092636579,6.961142517814727
England,River,2000-02-26,10.99758094958915,7.803478260869565,9.833478260869565
England,Effluent,2000-02-27,10.916085852367935,7.975510204081633,10.549591836734693
England,Effluent,2000-02-28,10.64713097557249,7.692962962962963,6.283197530864197
England,River,2000-02-29,10.730779080075308,7.642382608695652,6.049173913043479
England,River,2000-03-01,10.740913760856484,7.683996447602132,6.872277264653641
England,River,2000-03-02,10.921894052970154,7.682019047619048,7.907438095238095
England,River,2000-03-03,10.556319349324964,7.711528662420382,7.00955626326964
England,River,2000-03-04,8.836666666666666,7.833333333333333,8.673333333333334
England,River,2000-03-05,10.831399999999999,7.664,13.5582
England,River,2000-03-06,10.924729366393679,7.72,8.037112874779542
England,River,2000-03-07,10.747549192949261,7.73079744816587,8.322650717703349
England,River,2000-03-08,10.434412379058413,7.714232081911263,8.471744027303755
England,River,2000-03-09,10.636943927063044,7.745465313028764,8.337671404399323
England,River,2000-03-10,10.520065524202263,7.675815085158152,8.657369829683699
England,River,2000-03-11,8.7,4.75,8.2
England,Effluent,2000-03-12,10.19726181192628,7.473456790123457,10.367037037037036
England,Effluent,2000-03-13,10.569162316831783,7.761858974358975,9.081600854700854
England,River,2000-03-14,10.76525946495145,7.82147347740668,7.760825147347741
England,River,2000-03-15,10.885791894261418,7.760620031796503,9.629945945945945
England,Effluent,2000-03-16,10.721277400105976,7.788876033057852,8.399492561983472
England,River,2000-03-17,10.666837834503996,7.683224181360201,8.465299748110832
England,River,2000-03-18,10.295652173913043,7.542173913043478,14.098695652173912
England,River,2000-03-19,10.217976826798001,7.82390625,14.93109375
England,Effluent,2000-03-20,10.919582649776718,7.782,9.640462626262625
England,Effluent,2000-03-21,10.753762779956771,7.774035087719298,8.4492
England,Estuarine,2000-03-22,10.880970586356511,7.788398510242086,7.795448789571695
England,Effluent,2000-03-23,10.604148109712332,7.7758875219683645,8.481363796133568
England,River,2000-03-24,10.650501865481544,7.729546599496222,7.429521410579345
England,River,2000-03-25,9.81090909090909,7.663636363636363,8.566363636363636
England,Lake,2000-03-26,10.415573890071771,7.895476190476191,9.997380952380952
England,River,2000-03-27,10.84727915327462,7.749341825902335,9.114592356687899
England,River,2000-03-28,10.854030985385688,7.775765765765766,7.866146396396396
England,Effluent,2000-03-29,10.836493916461743,7.844515503875969,8.217687984496125
England,River,2000-03-30,10.526103371436937,7.717255319148936,10.601159574468085
England,Effluent,2000-03-31,10.639501095475119,7.709490445859873,8.50590127388535
England,River,2000-04-01,10.45841033830144,7.720000000000001,7.617
England,River,2000-04-02,10.16470588235294,7.9,4.215941176470588
